Date,Open,High,Low,Close,Adj_Close,Volume,Daily_Return,MA_20
2023-01-03,AAPL,122.98271179199219,128.71540946850325,122.09773035328112,128.10576142344397,112117500,,
2023-01-03,AMZN,85.81999969482422,86.95999908447266,84.20999908447266,85.45999908447266,76706000,-31.030659750335243,
2023-01-03,GOOGL,88.33670043945312,90.24973739582715,87.74196796868762,88.80256311679109,28131200,4.194239309600256,
2023-01-03,MSFT,232.9482421875,238.94745003778394,230.82857855768225,236.3513594820361,25740000,163.07659139815257,
2023-01-03,TSLA,108.0999984741211,118.80000305175781,104.63999938964844,118.47000122070312,231402800,-54.66765855272997,
2023-01-04,AMZN,85.13999938964844,86.9800033569336,83.36000061035156,86.55000305175781,68885100,-32.22353837727576,
2023-01-04,MSFT,222.7583770751953,226.42401047503648,219.7052947992431,225.8503455985308,50623400,153.98586535043233,
2023-01-04,AAPL,124.25119018554688,126.51280869797894,122.99255318811515,124.77234386397704,89113600,17.538755643649438,
2023-01-04,TSLA,113.63999938964844,114.58999633789062,107.5199966430664,109.11000061035156,180389000,-51.06171804311161,
2023-01-04,GOOGL,87.30584716796875,89.85325856571626,86.50296129515269,89.55589230728985,34854800,3.7703462833358348,
2023-01-05,AAPL,122.93354797363281,125.63765344479737,122.67789249421179,125.0083349534918,80962700,14.097745837423137,
2023-01-05,AMZN,83.12000274658203,85.41999816894531,83.06999969482422,85.33000183105469,67930800,-32.286088384878596,
2023-01-05,GOOGL,85.4423599243164,86.80032131544093,85.14500124959856,86.70120175720164,27194400,2.4978952237839414,
2023-01-05,MSFT,216.1562957763672,221.25125412142148,215.62151720752513,220.91093644040888,39585600,153.24037118214466,
2023-01-05,TSLA,110.33999633789062,111.75,107.16000366210938,110.51000213623047,157986300,-50.30180426799746,
2023-01-06,AMZN,86.08000183105469,86.4000015258789,81.43000030517578,83.02999877929688,83303400,-33.692014631907426,
2023-01-06,MSFT,218.70379638671875,219.51082327228505,213.27826716927703,216.8272270587664,43613600,153.55812877244165,
2023-01-06,AAPL,127.45677947998047,128.115596113896,122.80572219640975,123.907033324828,87754700,14.6003340795261,
2023-01-06,TSLA,113.05999755859375,114.38999938964844,101.80999755859375,103.0,220911100,-52.264241964331006,123.3355817186274
2023-01-06,GOOGL,86.57234954833984,86.9192793858496,84.11415094512147,86.02718813373873,41381500,3.296267505693562,
2023-01-09,AAPL,127.97795104980469,131.18355527394988,127.72229553056178,128.29261784653937,70790800,25.451624195408673,123.6168099774914
